Label,Area,Mean,Perim.,IntDen,RawIntDen,code,label_b,area_b,mean_b,Perim_b,IntDen_b,RawIntDen_b
R_tet_1008.tif:0001-0539-0506:c:1/2 t:1/61 - 001_1008.nd2 (series 1),719.281,37137.613,241.097,26712380.73,1580613960,R_Te_123_08.mat,001_1008.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_1008.nd2 (series 1),395.325,514.971,80.08,203580.763,12046199
R_tet_1009.tif:0001-0470-0468:c:1/2 t:1/61 - 001_1009.nd2 (series 1),1322.358,44061.51,333.373,58265074,3447636894,R_Te_123_09.mat,001_1009.nd2:0001-0137-0168:c:1/2 t:1/61 - 001_1009.nd2 (series 1),395.325,521.449,80.08,206141.789,12197739
Tetramer_001.nd2 - C=0:0001-0493-0458:c:1/2 t:1/61 - Tetramer_001.nd2 (series 1),428.466,3004.756,205.176,1287435.088,76179591,R_Te_518_01.mat,Tetramer_001.nd2 - C=0:0001-0937-0903:c:1/2 t:1/61 - Tetramer_001.nd2 (series 1),411.329,479.447,82.16,197210.511,11669261
Tetramer_002.nd2 - C=0:0001-0394-0158:c:1/2 t:1/61 - Tetramer_002.nd2 (series 1),359.159,905.127,185.187,325084.276,19235756,R_Te_518_02.mat,Tetramer_002.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_002.nd2 (series 1),411.329,501.189,82.16,206153.721,12198445
Tetramer_003.nd2 - C=0:0001-0604-0472:c:1/2 t:1/61 - Tetramer_003.nd2 (series 1),362.894,4435.178,120.237,1609498.118,95236575,R_Te_518_03.mat,Tetramer_003.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_003.nd2 (series 1),411.329,521.775,82.16,214621.381,12699490
Tetramer_004.nd2 - C=0:0001-0567-0474:c:1/2 t:1/61 - Tetramer_004.nd2 (series 1),572.116,5905.028,214.764,3378358.993,199902899,R_Te_518_04.mat,Tetramer_004.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_004.nd2 (series 1),411.329,497.536,82.16,204651.158,12109536
Tetramer_005.nd2 - C=0:0001-0508-0472:c:1/2 t:1/61 - Tetramer_005.nd2 (series 1),2394.088,2664.619,480.403,6379332.266,377475282,R_Te_518_05.mat,Tetramer_005.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_005.nd2 (series 1),411.329,476.814,82.16,196127.424,11605173
Tetramer_006.nd2 - C=0:0001-0537-0520:c:1/2 t:1/61 - Tetramer_006.nd2 (series 1),499.057,676.705,251.309,337714.137,19983085,R_Te_518_06.mat,Tetramer_006.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_006.nd2 (series 1),411.329,493.007,82.16,202788.255,11999305
Tetramer_007.nd2 - C=0:0001-0537-0523:c:1/2 t:1/61 - Tetramer_007.nd2 (series 1),728.965,1087.616,231.64,792833.401,46913219,R_Te_518_07.mat,Tetramer_007.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_007.nd2 (series 1),411.329,497.466,82.16,204622.192,12107822
Tetramer_008.nd2 - C=0:0001-0502-0493:c:1/2 t:1/61 - Tetramer_008.nd2 (series 1),812.755,1181.166,236.919,959998.196,56804627,R_Te_518_08.mat,Tetramer_008.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_008.nd2 (series 1),411.329,497.352,82.16,204575.294,12105047
Tetramer_009.nd2 - C=0:0001-0474-0506:c:1/2 t:1/61 - Tetramer_009.nd2 (series 1),3717.628,2133.319,644.188,7930886.317,469283214,R_Te_518_09.mat,Tetramer_009.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_009.nd2 (series 1),411.329,507.847,82.16,208892.078,12360478
Tetramer_010.nd2 - C=0:0001-0585-0462:c:1/2 t:1/61 - Tetramer_010.nd2 (series 1),976.482,3319.496,296.074,3241428.518,191800504,R_Te_518_10.mat,Tetramer_010.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_010.nd2 (series 1),411.329,494.505,82.16,203404.479,12035768
Tetramer_002.nd2 - C=0:0001-0547-0469:c:1/2 t:1/61 - Tetramer_002.nd2 (series 1),1277.217,802.001,400.859,1024329.719,60611226,R_Te_518_11.mat,Tetramer_002.nd2 - C=0:0001-0081-0884:c:1/2 t:1/61 - Tetramer_002.nd2 (series 1),411.329,501.189,82.16,206153.721,12198445
